Date,Visitor,G,Home,G,,Att.,LOG,Notes
2021-10-12,Pittsburgh Penguins,6,Tampa Bay Lightning,2,,19092,2:33,
2021-10-12,Seattle Kraken,3,Vegas Golden Knights,4,,18431,2:25,
2021-10-13,Winnipeg Jets,1,Anaheim Ducks,4,,16260,2:29,
2021-10-13,Chicago Blackhawks,2,Colorado Avalanche,4,,18037,2:32,
2021-10-13,Vancouver Canucks,2,Edmonton Oilers,3,SO,16034,2:42,
2021-10-13,Montreal Canadiens,1,Toronto Maple Leafs,2,,18493,2:33,
2021-10-13,New York Rangers,1,Washington Capitals,5,,18573,2:29,
2021-10-14,Montreal Canadiens,1,Buffalo Sabres,5,,8467,2:26,
2021-10-14,New York Islanders,3,Carolina Hurricanes,6,,18680,2:46,
2021-10-14,Arizona Coyotes,2,Columbus Blue Jackets,8,,17813,2:30,
2021-10-14,Tampa Bay Lightning,7,Detroit Red Wings,6,OT,19515,2:50,
2021-10-14,Pittsburgh Penguins,4,Florida Panthers,5,OT,14308,2:40,
2021-10-14,Vegas Golden Knights,2,Los Angeles Kings,6,,16589,2:32,
2021-10-14,Seattle Kraken,4,Nashville Predators,3,,17159,2:36,
2021-10-14,Dallas Stars,3,New York Rangers,2,OT,17173,2:32,
2021-10-14,Toronto Maple Leafs,2,Ottawa Senators,3,,15159,2:26,
2021-10-15,Minnesota Wild,2,Anaheim Ducks,1,,11938,2:37,
2021-10-15,Chicago Blackhawks,3,New Jersey Devils,4,OT,16514,2:28,
2021-10-15,Vancouver Canucks,5,Philadelphia Flyers,4,SO,19338,2:42,
2021-10-16,Dallas Stars,1,Boston Bruins,3,,17850,2:36,
2021-10-16,Arizona Coyotes,1,Buffalo Sabres,2,SO,7872,2:28,
2021-10-16,Seattle Kraken,1,Columbus Blue Jackets,2,OT,17593,2:25,
2021-10-16,St. Louis Blues,5,Colorado Avalanche,3,,18022,2:32,
2021-10-16,Vancouver Canucks,1,Detroit Red Wings,3,,16274,2:36,
2021-10-16,Calgary Flames,2,Edmonton Oilers,5,,17745,2:36,
2021-10-16,New York Islanders,1,Florida Panthers,5,,12936,2:34,
2021-10-16,Minnesota Wild,3,Los Angeles Kings,2,,12590,2:26,
2021-10-16,New York Rangers,3,Montreal Canadiens,1,,21105,2:30,
2021-10-16,Carolina Hurricanes,3,Nashville Predators,2,,17162,2:35,
2021-10-16,Chicago Blackhawks,2,Pittsburgh Penguins,5,,18420,2:15,
2021-10-16,Winnipeg Jets,3,San Jose Sharks,4,,16137,2:25,
2021-10-16,Ottawa Senators,1,Toronto Maple Leafs,3,,18211,2:29,
2021-10-16,Tampa Bay Lightning,2,Washington Capitals,1,OT,18573,2:43,
2021-10-17,Dallas Stars,2,Ottawa Senators,3,,8067,2:27,
2021-10-18,St. Louis Blues,7,Arizona Coyotes,4,,15235,2:27,
2021-10-18,Anaheim Ducks,3,Calgary Flames,2,OT,15174,2:26,
